year,degree_of_injury,industry,sub_industry,incident_type,incident_agent,incident_agent_sub_type,no._of_injuries
2011,Fatal,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,Caught in/ betw Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Fatal,"Community, Social & Personal Services",Repair & Maintenance of Vehicles,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Fatal,Construction,Civil Engineering,Collapse/Failure of Structure & Equipment,Others,Others - Furniture and Fittings,1
2011,Fatal,Construction,Civil Engineering,Struck by Moving Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Fatal,Construction,Civil Engineering,Struck by Moving Objects,Pressurised Equipments,Pressurised Equipments - Pressurised Piping /  Accessories,1
2011,Fatal,Construction,Construction of Buildings,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Fatal,Construction,Construction of Buildings,Caught in/ betw Objects,Vehicles,Vehicles - Excavators,1
2011,Fatal,Construction,Construction of Buildings,"Cave-in of excavation, tunnel, etc",Others,Others,1
2011,Fatal,Construction,Construction of Buildings,Collapse of formwork/Failure of its supports,Physical Workplace,Physical Workplace - Form Work,1
2011,Fatal,Construction,Construction of Buildings,Crane-related,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Mobile / Crawler Cranes,2
2011,Fatal,Construction,Construction of Buildings,Electrocution,Others,Others - Electrical Installation,1
2011,Fatal,Construction,Construction of Buildings,Falls - Falls from Height,Means of Access,Means of Access - Ladders,1
2011,Fatal,Construction,Construction of Buildings,Falls - Falls from Height,Means of Access,Means of Access - Others,1
2011,Fatal,Construction,Construction of Buildings,Falls - Falls from Height,Physical Workplace,Physical Workplace - Structures,2
2011,Fatal,Construction,Construction of Buildings,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Form Work,1
2011,Fatal,Construction,Construction of Buildings,Struck by Falling Objects from Heights,Others,Others - Ceramic Items,1
2011,Fatal,Construction,Specialised Construction Activites,Collapse/Failure of Structure & Equipment,Others,Others - Ceramic Items,2
2011,Fatal,Construction,Specialised Construction Activites,Falls - Falls from Height,Physical Workplace,Physical Workplace - Roof,2
2011,Fatal,Construction,Specialised Construction Activites,Falls - Falls from Height,Physical Workplace,Physical Workplace - Structures,1
2011,Fatal,Construction,Specialised Construction Activites,Struck by Falling Objects from Heights,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Piling machines,1
2011,Fatal,Information & Communications,Telecommunications,Falls - Falls from Height,Means of Access,Means of Access - Ladders,1
2011,Fatal,Manufacturing,Manufacture of Furniture,Falls - Falls from Height,Means of Access,Means of Access - Ladders,1
2011,Fatal,Manufacturing,Metalworking,Collapse/Failure of Structure & Equipment,Vehicles,Vehicles - Forklifts,1
2011,Fatal,Manufacturing,Metalworking,Falls - Falls from Height,Physical Workplace,Physical Workplace - Roof,1
2011,Fatal,Manufacturing,Metalworking,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Others,1
2011,Fatal,Manufacturing,Metalworking,Struck by Moving Objects,Industrial Machines,Industrial Machines - Others,1
2011,Fatal,Manufacturing,Manufacture of Non-Metallic Mineral Products,Crane-related,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Fatal,Manufacturing,Manufacture of Non-Metallic Mineral Products,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Others,1
2011,Fatal,Manufacturing,Other Manufacturing,Crane-related,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Fatal,Manufacturing,Manufacture od Petrochemical Products,Caught in/ betw Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Fatal,Manufacturing,Manufacture od Petrochemical Products,Collapse/Failure of Structure & Equipment,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifts and Hoists,1
2011,Fatal,Manufacturing,Manufacture od Petrochemical Products,Falls - Falls from Height,Physical Workplace,Physical Workplace - Roof,1
2011,Fatal,Manufacturing,Manufacture od Petrochemical Products,Oxygen Defiiciency in Confined Space,Physical Workplace,Physical Workplace - Confined Space,1
2011,Fatal,Manufacturing,"Manufacture of Wood & of Products of Wood & Cork, except Furniture; Manufacture of Articles of Straw & Plaiting Materials","Falls - Slips, Trips & Falls",Others,Others - Wooden Items,1
2011,Fatal,Marine,Marine,Caught in/ betw Objects,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifts and Hoists,1
2011,Fatal,Marine,Marine,Collapse/Failure of Structure & Equipment,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Mobile Work Platform,2
2011,Fatal,Marine,Marine,Crane-related,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Fatal,Marine,Marine,Falls - Falls from Height,Means of Access,Means of Access - Scaffold,2
2011,Fatal,Marine,Marine,"Falls - Slips, Trips & Falls",Physical Workplace,Physical Workplace - Floor/Level Surfaces,1
2011,Fatal,Marine,Marine,Fires & Explosion,Physical Workplace,Physical Workplace - Structures,2
2011,Fatal,Marine,Marine,Struck by Moving Objects,Vehicles,Vehicles - Forklifts,1
2011,Fatal,"Professional, Scientific & Technical Activities",Architectural & Engineering Activities; Technical Testing & Analysis,"Falls - Slips, Trips & Falls",Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Lifts and Hoists,1
2011,Fatal,Real Estate Activities,Real Estate Activities,Falls - Falls from Height,Physical Workplace,Physical Workplace - Roof,1
2011,Fatal,Transportation & Storage,Land Transport & Transport via Pipelines,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Fatal,Transportation & Storage,Land Transport & Transport via Pipelines,Struck by Moving Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Fatal,Transportation & Storage,Logistics and Transport,Crane-related,Lifting Equipment Including Cranes,Lifting Equipment Including Cranes - Others,1
2011,Fatal,Transportation & Storage,Logistics and Transport,Falls - Falls from Height,Means of Access,Means of Access - Ladders,1
2011,Fatal,Transportation & Storage,Logistics and Transport,Falls - Falls from Height,Physical Workplace,Physical Workplace - Structures,2
2011,Fatal,Transportation & Storage,Logistics and Transport,"Falls - Slips, Trips & Falls",Others,Others - Goods/Cargo,1
2011,Fatal,Transportation & Storage,Logistics and Transport,Struck by Falling Objects from Heights,Others,Others - Metal Items (excluding knives/needles),1
2011,Fatal,Transportation & Storage,Warehousing & Support Activities for Transportation excluding Logistics and Transport,Struck by Moving Objects,Vehicles,Vehicles - Motor vehicles,1
2011,Fatal,Transportation & Storage,Water Transport,Drowning,Means of Access,Means of Access - Others,1
2011,Fatal,"Water Supply, Sewerage & Waste Management","Waste Collection, Treatment & Disposal Activities; Materials Recovery",Collapse/Failure of Structure & Equipment,Physical Workplace,Physical Workplace - Structures,1
2011,Major,Accommodation & Food Services,Accommodation,Caught in/ betw Objects,Others,Others,1
2011,Major,Accommodation & Food Services,Accommodation,Exposure to Extreme Temperatures,Others,Others - Hot scalding liquid / Steam,1
2011,Major,Accommodation & Food Services,Accommodation,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Others,1
2011,Major,Accommodation & Food Services,Accommodation,"Falls - Slips, Trips & Falls",Means of Access,Means of Access - Stairs or Steps,1
2011,Major,Accommodation & Food Services,Accommodation,"Falls - Slips, Trips & Falls",Others,Others,1
2011,Major,Accommodation & Food Services,Accommodation,"Falls - Slips, Trips & Falls",Vehicles,Vehicles - Motor vehicles,1
2011,Major,Accommodation & Food Services,Accommodation,Over-exertion/Strenuous Movements,Others,Others - Goods/Cargo,1
2011,Major,Accommodation & Food Services,Accommodation,Striking against Objects,Others,Others - Furniture and Fittings,1
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Caught in/ betw Objects,Industrial Machines,Industrial Machines - Others,1
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Cut/Stabbed by Objects,Others,Others - Knives and Needles,3
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Exposure to Extreme Temperatures,Others,Others - Hot scalding liquid / Steam,5
2011,Major,Accommodation & Food Services,Food & Beverage Service Acitivities,Exposure to Extreme Temperatures,Pressurised Equipments,Pressurised Equipments - Gas Cylinders,2
